Female,Treatment,lifespan,bite.rate,lifetime.eggs
102,28,52,0.384615385,485
103,28,4,0,0
104,28,13,0.307692308,67
105,28,17,0.352941176,212
106,28,19,0.473684211,312
107,28,44,0.363636364,746
108,28,40,0.375,864
109,28,33,0.333333333,257
110,28,35,0.428571429,0
111,28,43,0.418604651,290
112,28,2,0.5,0
113,28,14,0.357142857,224
114,28,17,0.529411765,180
115,28,53,0.41509434,65
116,28,7,0.285714286,48
117,28,4,0.25,0
118,28,36,0.388888889,658
119,28,17,0.352941176,327
120,28,20,0.45,430
121,32,13,0.307692308,231
122,32,5,0.2,0
123,32,1,1,0
124,32,19,0.315789474,0
125,32,5,0,0
126,32,20,0.45,254
127,32,1,1,0
128,32,19,0.421052632,247
129,32,18,0.333333333,241
130,32,12,0.416666667,0
131,32,1,1,0
132,32,3,0.333333333,0
133,32,16,0.4375,124
134,32,21,0.380952381,440
135,32,6,0.166666667,0
136,32,24,0.291666667,155
137,32,15,0.266666667,195
138,32,1,0,0
139,32,19,0.473684211,250
140,32,17,0.294117647,228
141,32,5,0.2,0
142,32,2,0.5,0
143,32,3,0.333333333,0
144,32,19,0.315789474,460
145,32,7,0.142857143,66
146,32,10,0.4,168
147,32,17,0.176470588,61
148,32,11,0.272727273,196
149,32,2,0.5,0
150,32,13,0.538461538,113
201,16,58,0.172413793,0
202,16,62,0.209677419,12
203,16,70,0.242857143,414
204,16,46,0.152173913,0
205,16,70,0.228571429,239
206,16,70,0.314285714,58
207,16,26,0.115384615,32
208,16,67,0.179104478,338
209,16,33,0.151515152,45
210,16,23,0.086956522,0
211,16,37,0.216216216,0
212,16,52,0.230769231,38
213,16,59,0.271186441,206
214,16,26,0.038461538,0
215,16,67,0.179104478,16
216,16,33,0.151515152,0
217,16,51,0.235294118,0
218,16,62,0.322580645,167
219,16,11,0.090909091,0
220,16,41,0.195121951,0
221,16,69,0.231884058,96
222,16,54,0.12962963,108
223,16,26,0.115384615,80
224,16,15,0.133333333,0
225,16,66,0.242424242,180
226,16,66,0.272727273,247
227,16,15,0.133333333,0
228,16,12,0.166666667,0
229,16,30,0.1,43
230,16,25,0.2,0
231,20,59,0.271186441,651
232,20,65,0.246153846,0
233,20,54,0.277777778,0
234,20,5,0.2,0
235,20,15,0.266666667,0
236,20,61,0.327868852,295
237,20,52,0.230769231,0
238,20,28,0.214285714,0
239,20,34,0.264705882,58
240,20,15,0.133333333,0
241,20,61,0.37704918,649
242,20,13,0.384615385,64
243,20,5,0.4,0
244,20,23,0.217391304,179
245,20,28,0.25,28
246,20,53,0.320754717,111
247,20,15,0.133333333,0
248,20,15,0.2,100
249,20,14,0.071428571,0
250,20,38,0.315789474,554
251,20,41,0.292682927,675
252,20,33,0.212121212,0
253,20,28,0.321428571,256
254,20,44,0.181818182,444
255,20,19,0.315789474,124
256,20,17,0.235294118,245
257,20,3,0.333333333,0
258,20,58,0.327586207,564
259,20,15,0.133333333,166
260,20,25,0.28,118
261,24,35,0.457142857,420
262,24,51,0.352941176,100
263,24,53,0.358490566,827
264,24,16,0.375,177
265,24,19,0.263157895,166
266,24,10,0.1,0
267,24,14,0.214285714,149
268,24,30,0.333333333,334
269,24,19,0.368421053,197
270,24,16,0.25,95
271,24,59,0.338983051,735
272,24,37,0.297297297,468
273,24,15,0.266666667,213
274,24,3,0.333333333,0
275,24,46,0.347826087,0
276,24,16,0.4375,185
277,24,16,0.375,169
278,24,37,0.432432432,412
279,24,33,0.424242424,241
280,24,16,0.375,315
281,24,14,0.214285714,87
282,24,13,0.230769231,0
283,24,16,0.3125,144
284,24,5,0.2,0
285,24,53,0.377358491,588
286,24,15,0.333333333,448
287,24,16,0.3125,180
288,24,23,0.391304348,246
289,24,20,0.25,0
290,24,49,0.285714286,0
291,28,16,0.3125,0
292,28,15,0.4,0
293,28,15,0.266666667,0
294,28,15,0.466666667,73
295,28,38,0.421052632,448
296,28,18,0.388888889,71
297,28,15,0.266666667,0
298,28,15,0.333333333,0
299,28,12,0.333333333,314
300,28,16,0.375,346
301,28,32,0.28125,0
302,28,23,0.434782609,555
303,28,17,0.352941176,293
304,28,7,0.285714286,0
305,28,33,0.393939394,0
306,28,15,0.266666667,0
307,28,4,0,0
308,28,16,0.3125,323
309,28,26,0.461538462,330
310,28,8,0.375,0
311,28,8,0.5,62
312,28,8,0.25,40
313,28,7,0.428571429,0
314,28,6,0.333333333,0
315,28,16,0.4375,242
316,28,17,0.294117647,361
317,28,25,0.36,150
318,28,5,0.2,0
319,28,32,0.34375,0
320,28,39,0.282051282,0
321,32,15,0.4,499
322,32,12,0.5,353
323,32,3,0,0
324,32,14,0.5,0
325,32,14,0.285714286,0
326,32,6,0.333333333,54
327,32,16,0.375,0
328,32,9,0.444444444,135
329,32,25,0.44,249
330,32,11,0.636363636,77
331,32,20,0.3,274
332,32,12,0.583333333,0
333,32,1,0,0
334,32,15,0.6,0
335,32,10,0.6,80
336,32,2,0.5,0
337,32,12,0.416666667,110
338,32,5,0.2,0
339,32,14,0.285714286,0
340,32,5,0.2,70
341,32,25,0.44,0
342,32,15,0.333333333,192
343,32,21,0.428571429,60
344,32,14,0.357142857,64
345,32,21,0.428571429,434
346,32,12,0.5,121
347,32,3,0.333333333,0
348,32,12,0.5,0
349,32,15,0.333333333,257
350,32,2,0.5,0
